id,silencerID,chrom,start,end,size,method,cellline,tissue,organ,species,ngene,dgene,genome,strand
1,HS_00278187,chr1,1127175,1127375,200,"High throughput",K562,Blood,Blood,"Homo sapiens",TTLL10,.,hg19,.
2,HS_00278188,chr1,1140555,1140755,200,"High throughput",K562,Blood,Blood,"Homo sapiens",TNFRSF18,.,hg19,.
3,HS_00278189,chr1,1218540,1218740,200,"High throughput",K562,Blood,Blood,"Homo sapiens",SCNN1D,.,hg19,.
4,HS_00278190,chr1,1429096,1429296,200,"High throughput",K562,Blood,Blood,"Homo sapiens",ATAD3B,.,hg19,.
5,HS_00278191,chr1,2569476,2569676,200,"High throughput",K562,Blood,Blood,"Homo sapiens",TTC34,.,hg19,.
6,HS_00278192,chr1,3462455,3462655,200,"High throughput",K562,Blood,Blood,"Homo sapiens",MEGF6,TPRG1L,hg19,.
7,HS_00278193,chr1,5061616,5061816,200,"High throughput",K562,Blood,Blood,"Homo sapiens",AJAP1,.,hg19,.
8,HS_00278194,chr1,5907446,5907646,200,"High throughput",K562,Blood,Blood,"Homo sapiens",NPHP4,.,hg19,.
9,HS_00278195,chr1,5910315,5910515,200,"High throughput",K562,Blood,Blood,"Homo sapiens",NPHP4,.,hg19,.
10,HS_00278196,chr1,6221766,6221966,200,"High throughput",K562,Blood,Blood,"Homo sapiens",CHD5,.,hg19,.
11,HS_00278197,chr1,6278895,6279095,200,"High throughput",K562,Blood,Blood,"Homo sapiens",RNF207,.,hg19,.
12,HS_00278198,chr1,6579335,6579535,200,"High throughput",K562,Blood,Blood,"Homo sapiens",PLEKHG5,ZBTB48,hg19,.
13,HS_00278199,chr1,7032460,7032660,200,"High throughput",K562,Blood,Blood,"Homo sapiens",CAMTA1,.,hg19,.
14,HS_00278200,chr1,7587195,7587395,200,"High throughput",K562,Blood,Blood,"Homo sapiens",CAMTA1,.,hg19,.
15,HS_00278201,chr1,7587355,7587555,200,"High throughput",K562,Blood,Blood,"Homo sapiens",CAMTA1,.,hg19,.
16,HS_00278202,chr1,7676315,7676515,200,"High throughput",K562,Blood,Blood,"Homo sapiens",CAMTA1,.,hg19,.
17,HS_00278203,chr1,7793455,7793655,200,"High throughput",K562,Blood,Blood,"Homo sapiens",CAMTA1,.,hg19,.
18,HS_00278204,chr1,7871335,7871535,200,"High throughput",K562,Blood,Blood,"Homo sapiens",PER3,.,hg19,.
19,HS_00278205,chr1,8125536,8125736,200,"High throughput",K562,Blood,Blood,"Homo sapiens",ERRFI1,.,hg19,.
20,HS_00278206,chr1,8367735,8367935,200,"High throughput",K562,Blood,Blood,"Homo sapiens",SLC45A1,.,hg19,.
21,HS_00278207,chr1,9100055,9100255,200,"High throughput",K562,Blood,Blood,"Homo sapiens",SLC2A5,.,hg19,.
22,HS_00278208,chr1,9175695,9175895,200,"High throughput",K562,Blood,Blood,"Homo sapiens",GPR157,.,hg19,.
23,HS_00278209,chr1,9542895,9543095,200,"High throughput",K562,Blood,Blood,"Homo sapiens",SLC25A33,.,hg19,.
24,HS_00278210,chr1,9615475,9615675,200,"High throughput",K562,Blood,Blood,"Homo sapiens",SLC25A33,.,hg19,.
25,HS_00278211,chr1,9771355,9771555,200,"High throughput",K562,Blood,Blood,"Homo sapiens",PIK3CD,.,hg19,.
26,HS_00278212,chr1,9828075,9828275,200,"High throughput",K562,Blood,Blood,"Homo sapiens",CLSTN1,.,hg19,.
27,HS_00278213,chr1,10059035,10059235,200,"High throughput",K562,Blood,Blood,"Homo sapiens",RBP7,.,hg19,.
28,HS_00278214,chr1,10067355,10067555,200,"High throughput",K562,Blood,Blood,"Homo sapiens",RBP7,.,hg19,.
29,HS_00278215,chr1,10292356,10292556,200,"High throughput",K562,Blood,Blood,"Homo sapiens",KIF1B,.,hg19,.
30,HS_00278216,chr1,10321875,10322075,200,"High throughput",K562,Blood,Blood,"Homo sapiens",KIF1B,.,hg19,.
31,HS_00278217,chr1,10339215,10339415,200,"High throughput",K562,Blood,Blood,"Homo sapiens",KIF1B,.,hg19,.
32,HS_00278218,chr1,10371615,10371815,200,"High throughput",K562,Blood,Blood,"Homo sapiens",KIF1B,.,hg19,.
33,HS_00278219,chr1,10414055,10414255,200,"High throughput",K562,Blood,Blood,"Homo sapiens",KIF1B,.,hg19,.
34,HS_00278220,chr1,10469355,10469555,200,"High throughput",K562,Blood,Blood,"Homo sapiens",PGD,DFFA,hg19,.
35,HS_00278221,chr1,11254536,11254736,200,"High throughput",K562,Blood,Blood,"Homo sapiens",MTOR,.,hg19,.
36,HS_00278222,chr1,11460745,11460945,200,"High throughput",K562,Blood,Blood,"Homo sapiens",DISP3,.,hg19,.
37,HS_00278223,chr1,14435595,14435795,200,"High throughput",K562,Blood,Blood,"Homo sapiens",KAZN,.,hg19,.
38,HS_00278224,chr1,14688955,14689155,200,"High throughput",K562,Blood,Blood,"Homo sapiens",KAZN,.,hg19,.
39,HS_00278225,chr1,15994716,15994916,200,"High throughput",K562,Blood,Blood,"Homo sapiens",DDI2,.,hg19,.
40,HS_00278226,chr1,16234075,16234275,200,"High throughput",K562,Blood,Blood,"Homo sapiens",SPEN,.,hg19,.
41,HS_00278227,chr1,16238495,16238695,200,"High throughput",K562,Blood,Blood,"Homo sapiens",SPEN,.,hg19,.
42,HS_00278228,chr1,18610476,18610676,200,"High throughput",K562,Blood,Blood,"Homo sapiens",IGSF21,.,hg19,.
43,HS_00278229,chr1,19327695,19327895,200,"High throughput",K562,Blood,Blood,"Homo sapiens",IFFO2,.,hg19,.
44,HS_00278230,chr1,19873255,19873455,200,"High throughput",K562,Blood,Blood,"Homo sapiens",MICOS10,.,hg19,.
